country,coordinates,location
US,"{'latitude': 36.60538, 'longitude': -118.062775}",CARB_S_GBUAPCD_LonePineDowntown
US,"{'latitude': 38.240902, 'longitude': -120.3744}",Lake Mont Pines
US,"{'latitude': 34.284264, 'longitude': -118.742}",Ralph's House
CA,"{'latitude': 45.288696, 'longitude': -75.8678}",EAS_PA_018
US,"{'latitude': 33.071095, 'longitude': -117.29702}",Schmoopfront
US,"{'latitude': 47.544365, 'longitude': -122.0162}",Issaquah Highlands
CA,"{'latitude': 52.64869, 'longitude': -122.50504}",FNHA-C916
US,"{'latitude': 37.841644, 'longitude': -122.20214}",Thornhaus
US,"{'latitude': 39.08122, 'longitude': -84.52894}",Devou Park
US,"{'latitude': 37.405697, 'longitude': -122.131256}",Donald Drive
MX,"{'latitude': 25.63774, 'longitude': -100.371}",J SILLER Cerro Prieto
US,"{'latitude': 41.337696, 'longitude': -73.9178}",Arden Drive
US,"{'latitude': 38.941086, 'longitude': -77.033485}",Klein Yard
US,"{'latitude': 44.053883, 'longitude': -123.07439}",Nearby Nature
US,"{'latitude': 37.396725, 'longitude': -122.08411}",Courtyards
US,"{'latitude': 38.85688, 'longitude': -77.21795}","7940 Freehollow Dr, FC, VA"
US,"{'latitude': 29.691015, 'longitude': -95.13602}",C.and.Mi's
US,"{'latitude': 38.540447, 'longitude': -121.743515}",Aggie Village
US,"{'latitude': 39.815586, 'longitude': -120.475525}",West St
US,"{'latitude': 39.14595, 'longitude': -94.7854}",SA3
US,"{'latitude': 37.54497, 'longitude': -122.036}",Dalewood Squared
US,"{'latitude': 34.042713, 'longitude': -118.47522}",CAZIER-SM-016
US,"{'latitude': 42.492805, 'longitude': -89.03877}",Nature at the Confluence
US,"{'latitude': 42.19155, 'longitude': -122.70448}",GSI Office 696 Siskiyou Blvd Ashland OR Elevation 1970 feet
US,"{'latitude': 41.76942, 'longitude': -72.32026}",Coventry Lake
US,"{'latitude': 40.679047, 'longitude': -75.398026}",HanTwp-1
US,"{'latitude': 33.198776, 'longitude': -116.96868}",AQI SPY 6
CA,"{'latitude': 45.99666, 'longitude': -77.44128}",AQSU-Petawawa-2
US,"{'latitude': 39.528507, 'longitude': -119.80917}",Greater Nevada Field
