id,name,country,coordinates,lastUpdated,measurements
66445,Kaohe Mauka,US,"{'latitude': 19.311298, 'longitude': -155.87045}",2023-07-04T21:54:03+00:00,2533170
273453,LakoHouse,US,"{'latitude': 19.608747, 'longitude': -155.96782}",2023-07-04T21:54:01+00:00,1264092
68209,Kona Home Outdoors,US,"{'latitude': 19.623238, 'longitude': -155.96786}",2023-07-04T21:53:59+00:00,2488248
68171,waikii,US,"{'latitude': 19.86205, 'longitude': -155.67453}",2023-07-04T21:54:05+00:00,313842
371078,AMC Medical Center,MX,"{'latitude': 22.889877, 'longitude': -109.90813}",2023-07-04T21:54:04+00:00,644256
65494,Colegio Tonallí,MX,"{'latitude': 25.564653, 'longitude': -100.24257}",2023-07-04T21:54:06+00:00,1839420
65622,San Roberto International School Campus San Agustin,MX,"{'latitude': 25.645615, 'longitude': -100.3372}",2023-07-04T21:54:03+00:00,2116158
299207,Liceo de Monterrey,MX,"{'latitude': 25.650322, 'longitude': -100.32849}",2023-07-04T21:54:04+00:00,810732
269948,GIECC_UCMEXUS_22,MX,"{'latitude': 25.653612, 'longitude': -100.292534}",2023-07-04T21:54:06+00:00,640616
66571,Colinas del Valle,MX,"{'latitude': 25.67816, 'longitude': -100.39298}",2023-07-04T21:54:00+00:00,2472990
271055,Sima UANL,MX,"{'latitude': 25.729715, 'longitude': -100.31027}",2023-07-04T21:54:06+00:00,1320780
400689,Cape Coral Fire Station #11,US,"{'latitude': 26.672947, 'longitude': -82.040146}",2023-07-04T21:54:02+00:00,574903
68486,Cumbres,MX,"{'latitude': 29.132936, 'longitude': -110.95183}",2023-07-04T21:54:02+00:00,2506980
575409,Museum reach boat ramp,US,"{'latitude': 29.440323, 'longitude': -98.48145}",2023-07-04T21:54:03+00:00,373668
66137,C.and.Mi's,US,"{'latitude': 29.691015, 'longitude': -95.13602}",2023-07-04T21:54:00+00:00,2261712
66394,Northeast West U,US,"{'latitude': 29.723648, 'longitude': -95.42064}",2023-07-04T21:54:01+00:00,2505114
218449,"3623 Shadow Trail, Houston, Texas 77084",US,"{'latitude': 29.81888, 'longitude': -95.69566}",2023-07-04T21:54:03+00:00,2417724
929688,Apache69,US,"{'latitude': 29.822308, 'longitude': -95.30618}",2023-07-04T21:54:03+00:00,252702
71764,Downtown New Orleans,US,"{'latitude': 29.943491, 'longitude': -90.06983}",2023-07-04T21:54:00+00:00,246459
317527,R&amp;R's house,US,"{'latitude': 29.947346, 'longitude': -90.12832}",2023-07-04T21:54:00+00:00,978036
223905,Raleigh Creek,US,"{'latitude': 30.121431, 'longitude': -95.60936}",2023-07-04T21:54:02+00:00,2245855
358506,CRCJV-#2,US,"{'latitude': 30.231756, 'longitude': -97.881294}",2023-07-04T21:54:03+00:00,672798
270632,"Westlake, Louisiana",US,"{'latitude': 30.25728, 'longitude': -93.27222}",2023-07-04T21:54:01+00:00,1587426
69858,Iberville,US,"{'latitude': 30.266632, 'longitude': -91.21969}",2023-07-04T21:54:03+00:00,2201247
63876,Central,US,"{'latitude': 30.552189, 'longitude': -91.03447}",2023-07-04T21:54:06+00:00,2293254
64767,"Parkside at Mayfield Ranch@Georgetown, Tx",US,"{'latitude': 30.586252, 'longitude': -97.77036}",2023-07-04T21:53:59+00:00,2470376
366548,South Oatmeal,US,"{'latitude': 30.66903, 'longitude': -98.07575}",2023-07-04T21:54:00+00:00,653628
308610,CJ11-L-01,MX,"{'latitude': 31.65894, 'longitude': -106.411766}",2023-07-04T21:54:03+00:00,700746
370438,CJ11-L-02,MX,"{'latitude': 31.658993, 'longitude': -106.41177}",2023-07-04T21:54:04+00:00,667152
292900,NWS El Paso,US,"{'latitude': 31.87266, 'longitude': -106.69927}",2023-07-04T21:54:03+00:00,591336
370133,Long Branch monitor,US,"{'latitude': 32.07596, 'longitude': -94.52738}",2023-07-04T21:54:00+00:00,618213
230186,Hudson Hill--02,US,"{'latitude': 32.094215, 'longitude': -81.12027}",2023-07-04T21:54:02+00:00,1784214
226444,Kimmel Park,US,"{'latitude': 32.48389, 'longitude': -97.00183}",2023-07-04T21:53:59+00:00,2110050
363633,N | Biblioteca Francisco Eusebio Kino | AYUNTAMIENTO DE TIJUANA,MX,"{'latitude': 32.52021, 'longitude': -117.07334}",2023-07-04T21:54:00+00:00,720570
354468,US Consulate Tijuana,MX,"{'latitude': 32.5234, 'longitude': -116.952484}",2023-07-04T21:54:04+00:00,866946
72004,AYUNTAMIENTO E MEXICALI - PARQUE CENTENARIO*,MX,"{'latitude': 32.59604, 'longitude': -115.36308}",2023-07-04T21:54:05+00:00,1319580
277693,PURPLEAIR PA-II-SD CLX HSE,US,"{'latitude': 32.682343, 'longitude': -115.494675}",2023-07-04T21:54:01+00:00,1346025
69247,"Mathewson Park, Coronado",US,"{'latitude': 32.68735, 'longitude': -117.17259}",2023-07-04T21:54:06+00:00,2531904
224547,Circa37,US,"{'latitude': 32.77678, 'longitude': -117.15156}",2023-07-04T21:54:00+00:00,2066016
355648,CCRAB Peace St,US,"{'latitude': 32.8305, 'longitude': -79.9574}",2023-07-04T21:54:04+00:00,796482
66590,Alpine/Galloway Valley,US,"{'latitude': 32.831882, 'longitude': -116.81355}",2023-07-04T21:54:02+00:00,2551398
63869,Arbormont Estates,US,"{'latitude': 32.882004, 'longitude': -97.08413}",2023-07-04T21:54:06+00:00,2054394
63444,Franklin Antonio,US,"{'latitude': 32.94543, 'longitude': -117.2448}",2023-07-04T21:54:05+00:00,1957259
273540,UNT-GEO-33,US,"{'latitude': 33.012363, 'longitude': -96.90979}",2023-07-04T21:53:59+00:00,1296966
277448,UNT-GEO-68,US,"{'latitude': 33.022003, 'longitude': -97.22522}",2023-07-04T21:54:03+00:00,1257073
