parameter,value,lastUpdated,unit,location,country,coordinates,latitude,longitude
um025,0.02,2023-07-04T21:14:04+00:00,particles/cm³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
temperature,87,2023-07-04T21:14:04+00:00,f,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
humidity,30,2023-07-04T21:14:04+00:00,%,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
um003,8.96,2023-07-04T21:14:04+00:00,particles/cm³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
um010,0.34,2023-07-04T21:14:04+00:00,particles/cm³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
pm10,6.5,2023-07-04T21:14:04+00:00,µg/m³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
um100,0,2023-07-04T21:14:04+00:00,particles/cm³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
um050,0,2023-07-04T21:14:04+00:00,particles/cm³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
pressure,996.21,2023-07-04T21:14:04+00:00,mb,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
pm1,4.4,2023-07-04T21:14:04+00:00,µg/m³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
um005,2.53,2023-07-04T21:14:04+00:00,particles/cm³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
pm25,5.8,2023-07-04T21:14:04+00:00,µg/m³,Alturas Drive,US,"{'latitude': 37.574825, 'longitude': -122.39338}",37.574825,-122.39338
pressure,982.05,2023-07-04T21:14:04+00:00,mb,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
um100,0.01,2023-07-04T21:14:04+00:00,particles/cm³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
pm10,25.6,2023-07-04T21:14:04+00:00,µg/m³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
um025,0.11,2023-07-04T21:14:04+00:00,particles/cm³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
um003,28.65,2023-07-04T21:14:04+00:00,particles/cm³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
um005,8.03,2023-07-04T21:14:04+00:00,particles/cm³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
um050,0.01,2023-07-04T21:14:04+00:00,particles/cm³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
pm1,15.3,2023-07-04T21:14:04+00:00,µg/m³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
pm25,24.1,2023-07-04T21:14:04+00:00,µg/m³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
um010,1.62,2023-07-04T21:14:04+00:00,particles/cm³,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
humidity,30,2023-07-04T21:14:04+00:00,%,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
temperature,87,2023-07-04T21:14:04+00:00,f,Cavanaugh,US,"{'latitude': 48.328327, 'longitude': -122.010864}",48.328327,-122.010864
humidity,41,2023-07-04T21:14:04+00:00,%,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
um025,0.11,2023-07-04T21:14:04+00:00,particles/cm³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
pm10,10.6,2023-07-04T21:14:04+00:00,µg/m³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
pm1,4.5,2023-07-04T21:14:04+00:00,µg/m³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
temperature,78,2023-07-04T21:14:04+00:00,c,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
um010,0.5,2023-07-04T21:14:04+00:00,particles/cm³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
pm25,8.3,2023-07-04T21:14:04+00:00,µg/m³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
um003,13.28,2023-07-04T21:14:04+00:00,particles/cm³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
temperature,68,2023-06-07T15:21:00+00:00,f,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
um050,0.02,2023-07-04T21:14:04+00:00,particles/cm³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
um100,0.01,2023-07-04T21:14:04+00:00,particles/cm³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
um005,3.06,2023-07-04T21:14:04+00:00,particles/cm³,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
pressure,1010.18,2023-07-04T21:14:04+00:00,mb,ECPC,US,"{'latitude': 37.913994, 'longitude': -122.30215}",37.913994,-122.30215
temperature,77,2023-07-04T21:14:04+00:00,f,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
um050,0,2023-07-04T21:14:04+00:00,particles/cm³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
um003,6.64,2023-07-04T21:14:04+00:00,particles/cm³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
pm25,4.2,2023-07-04T21:14:04+00:00,µg/m³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
um010,0.29,2023-07-04T21:14:04+00:00,particles/cm³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
um025,0.02,2023-07-04T21:14:04+00:00,particles/cm³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
pm10,4.9,2023-07-04T21:14:04+00:00,µg/m³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
humidity,41,2023-07-04T21:14:04+00:00,%,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
um100,0,2023-07-04T21:14:04+00:00,particles/cm³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
pm1,2.9,2023-07-04T21:14:04+00:00,µg/m³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
um005,1.87,2023-07-04T21:14:04+00:00,particles/cm³,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
pressure,976.53,2023-07-04T21:14:04+00:00,mb,Bennett Vista Place,US,"{'latitude': 38.40561, 'longitude': -122.61685}",38.40561,-122.61685
um100,0,2023-07-04T21:14:04+00:00,particles/cm³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
um005,4.19,2023-07-04T21:14:04+00:00,particles/cm³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
temperature,77,2023-07-04T21:14:04+00:00,c,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
pm25,11.2,2023-07-04T21:14:04+00:00,µg/m³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
pm10,12.8,2023-07-04T21:14:04+00:00,µg/m³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
humidity,48,2023-07-04T21:14:04+00:00,%,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
temperature,68,2023-06-07T15:12:12+00:00,f,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
pm1,7.3,2023-07-04T21:14:04+00:00,µg/m³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
um050,0.01,2023-07-04T21:14:04+00:00,particles/cm³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
um010,0.75,2023-07-04T21:14:04+00:00,particles/cm³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
um025,0.06,2023-07-04T21:14:04+00:00,particles/cm³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
um003,14.32,2023-07-04T21:14:04+00:00,particles/cm³,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
pressure,1012.62,2023-07-04T21:14:04+00:00,mb,Palo Alto Ave between Fulton St and Everett Ave,US,"{'latitude': 37.454056, 'longitude': -122.1589}",37.454056,-122.1589
um100,0.01,2023-07-04T21:14:04+00:00,particles/cm³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
um050,0.02,2023-07-04T21:14:04+00:00,particles/cm³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
pressure,1012.82,2023-07-04T21:14:04+00:00,mb,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
temperature,72,2023-07-04T21:14:04+00:00,c,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
um005,3.34,2023-07-04T21:14:04+00:00,particles/cm³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
um010,0.63,2023-07-04T21:14:04+00:00,particles/cm³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
um025,0.09,2023-07-04T21:14:04+00:00,particles/cm³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
temperature,64,2023-05-31T19:02:27+00:00,f,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
pm10,11.3,2023-07-04T21:14:04+00:00,µg/m³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
pm25,9.8,2023-07-04T21:14:04+00:00,µg/m³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
pm1,5.6,2023-07-04T21:14:04+00:00,µg/m³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
um003,11.71,2023-07-04T21:14:04+00:00,particles/cm³,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
humidity,53,2023-07-04T21:14:04+00:00,%,Hayward West,US,"{'latitude': 37.645454, 'longitude': -122.11885}",37.645454,-122.11885
um100,0,2023-07-04T21:14:04+00:00,particles/cm³,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
um010,0.84,2023-07-04T21:14:04+00:00,particles/cm³,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
pm1,6.7,2023-07-04T21:14:04+00:00,µg/m³,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
um003,14.15,2023-07-04T21:14:04+00:00,particles/cm³,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
um005,3.91,2023-07-04T21:14:04+00:00,particles/cm³,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
humidity,33,2023-07-04T21:14:04+00:00,%,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
pressure,1005.72,2023-07-04T21:14:04+00:00,mb,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
temperature,82,2023-07-04T21:14:04+00:00,f,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
pm25,11.2,2023-07-04T21:14:04+00:00,µg/m³,"Per Pull Rane , Per Err Pull Ray Ain",US,"{'latitude': 37.80683, 'longitude': -122.220436}",37.80683,-122.220436
