id,name,displayName,description,preferredUnit
1,pm10,PM10,Particulate matter less than 10 micrometers in diameter mass concentration,µg/m³
2,pm25,PM2.5,Particulate matter less than 2.5 micrometers in diameter mass concentration,µg/m³
6,so2,SO₂ mass,Sulfur Dioxide mass concentration,µg/m³
15,no2,NO₂,NO₂,ppb
19,pm1,PM1,Particulate matter less than 1 micrometer in diameter mass concentration,µg/m³
21,co2,CO₂,Carbon Dioxide concentration,ppm
22,wind_direction,wd,Direction that the wind originates from,deg
25,rh,RH,RH,%
28,ch4,CH₄,Methane concentration,ppm
29,pn,pn,n/a,particles/cm³
32,o3,O₃,O₃,ppb
33,ufp,UFP count,Ultrafine Particles count concentration,particles/cm³
34,wind_speed,ws,Average wind speed in meters per second,m/s
36,pm,PM,PM,µg/m³
37,ambient_temp,T,T,deg_c
98,relativehumidity,RH,RH,%
102,co,CO,CO,ppb
125,um003,PM0.3 count,PM0.3 count,particles/cm³
126,um010,PM1 count,PM1 count,particles/cm³
128,temperature,T,T,f
129,um050,PM5.0 count,PM5.0 count,particles/cm³
130,um025,PM2.5 count,PM2.5 count,particles/cm³
131,pm100,PM100,PM100,µg/m³
132,pressure,pressure,n/a,mb
133,um005,PM0.5,PM0.5,particles/cm³
134,humidity,H,H,%
135,um100,PM10 count,PM10 count,particles/cm³
150,voc,VOC,VOC,iaq
676,ozone,O₃,O₃,ppb
19840,nox,NOx,Nitrogen Oxides concentration,ppm
19841,bc,BC,BC,ppm
19843,no,NO mass,Nitrogen Monoxide mass concentration,µg/m³
19844,pm4,PM4.0,Particulate matter less than 4 micrometers in diameter mass concentration,µg/m³
19848,so4,SO4,Sulfate,ppb
19849,ec,EC,Elemental Carbon,ppb
19850,oc,OC,Organic Carbon,ppb
19851,cl,Cl,Chloride,ppb
19852,k,K,Potassium,ppb
19853,no3,NO3,Nitrite,ppb
19854,pb,Pb,Lead,ppb
19855,as,As,Arsenic,ppb
19856,ca,Ca,Calcium,ppb
19857,fe,Fe,Iron,ppb
19858,ni,Ni,Nickle,ppb
19859,v,V,Vanadium,ppb
